event	size	p	p_prime	p_second	formula_match
empty	0	4/15	-7/150	2173853/476280000	True
1	1	792747/5460125	3431247/764417500	-134334236737/57789963000000	True
2	1	460038/5460125	69887/327607500	-231041953/131043000000	True
3	1	418864/16380375	-910589/573313125	-221996546507/520109667000000	True
4	1	1967456/16380375	-3148436/573313125	-10575200852/8126713546875	True
5	1	11996/131043	109063/45865050	-3555917011/2600548335000	True
12	2	480411/10920250	6761151/764417500	789030497/1284221400000	True
13	2	73521/5460125	76963/40232500	-1723117553/57789963000000	True
14	2	240648/5460125	8324/1436875	-156397237/902968171875	True
15	2	139542/5460125	139683/27300625	51071479/152078850000	True
23	2	2196/287375	633901/764417500	-6898374521/57789963000000	True
24	2	199776/5460125	415612/81901875	-1684277/73711687500	True
25	2	3042/287375	4757/2481875	6966341/58969350000	True
34	2	136064/16380375	8896/10058125	-787391729/6501370837500	True
35	2	130924/16380375	1322359/1146626250	-266604169/13002741675000	True
45	2	575456/16380375	421064/81901875	3052327/33170259375	True
123	3	41067/10920250	123201/109202500	469752231/2140369000000	True
124	3	62424/5460125	93636/27300625	267768037/401319187500	True
125	3	216/218405	324/1092025	926533/16052767500	True
134	3	24/15125	36/75625	926533/10005187500	True
135	3	8214/5460125	12321/27300625	1268423677/14447490750000	True
145	3	42336/5460125	63504/27300625	926533/2047546875	True
234	3	96/45125	144/225625	926533/7462546875	True
235	3	5046/5460125	7569/27300625	779214253/14447490750000	True
245	3	4704/5460125	7056/27300625	926533/18427921875	True
345	3	1568/655215	784/1092025	926533/6634051875	True
1234	4	0	0	0	True
1235	4	0	0	0	True
1245	4	0	0	0	True
1345	4	0	0	0	True
2345	4	0	0	0	True
12345	5	0	0	0	True
