32 -0x1.14844ae423d4bp-9 -0x1.14844ae423911p-9 0x1.fffffffffff84p-1 0x1.0000000000041p+0 -0x1.7ca0000000002p-48 0x1.7c70000000002p-48 -0x1.1f40000000002p-48 0x1.1ef0000000002p-48 0.696650041 262144
33 -0x1.13d799d6f1571p-9 -0x1.13d799d6f1138p-9 0x1.fffffffffff83p-1 0x1.000000000004p+0 -0x1.7dc0000000002p-48 0x1.7db0000000002p-48 -0x1.2050000000002p-48 0x1.2030000000002p-48 0.711371039 262144
34 -0x1.12808bd857199p-9 -0x1.12808bd856d63p-9 0x1.fffffffffff83p-1 0x1.000000000004p+0 -0x1.7a90000000002p-48 0x1.7a80000000002p-48 -0x1.1e70000000002p-48 0x1.1e78000000002p-48 0.65075268 262144
35 -0x1.1083bc84c513ep-9 -0x1.1083bc84c4d0dp-9 0x1.fffffffffff84p-1 0x1.000000000004p+0 -0x1.7800000000002p-48 0x1.7830000000002p-48 -0x1.1c78000000002p-48 0x1.1c90000000002p-48 0.665162294 262144
36 -0x1.0de7f62e9a31fp-9 -0x1.0de7f62e99eefp-9 0x1.fffffffffff83p-1 0x1.0000000000041p+0 -0x1.7a40000000002p-48 0x1.7a50000000002p-48 -0x1.1ec0000000002p-48 0x1.1eb0000000002p-48 0.686877003 262144
37 -0x1.0ab60db5edf07p-9 -0x1.0ab60db5edae3p-9 0x1.fffffffffff85p-1 0x1.000000000004p+0 -0x1.72e0000000002p-48 0x1.72e0000000002p-48 -0x1.19c8000000002p-48 0x1.19e0000000002p-48 0.722531255 262144
38 -0x1.06f8b431934ddp-9 -0x1.06f8b431930bep-9 0x1.fffffffffff84p-1 0x1.000000000004p+0 -0x1.7080000000002p-48 0x1.7080000000002p-48 -0x1.1910000000002p-48 0x1.18f0000000002p-48 0.716719587 262144
39 -0x1.02bc3fe6dbcd5p-9 -0x1.02bc3fe6db8b9p-9 0x1.fffffffffff84p-1 0x1.0000000000041p+0 -0x1.7280000000002p-48 0x1.7300000000002p-48 -0x1.1b10000000002p-48 0x1.1b00000000002p-48 0.635807562 262144
40 -0x1.fc1cdc96f6306p-10 -0x1.fc1cdc96f5ae9p-10 0x1.fffffffffff85p-1 0x1.0000000000041p+0 -0x1.6cf0000000002p-48 0x1.6d10000000002p-48 -0x1.1828000000002p-48 0x1.1800000000002p-48 0.66776906 262144
41 -0x1.f1fc41ef9bce6p-10 -0x1.f1fc41ef9b4dbp-10 0x1.fffffffffff83p-1 0x1.000000000004p+0 -0x1.6900000000002p-48 0x1.6920000000002p-48 -0x1.15f0000000002p-48 0x1.1600000000002p-48 0.649196782 262144
