index,label,spectral_scale,basis_scale,accepted,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,spectrum_margin,basis_orthogonality_residual,status
-1,source_base,0.0,0.0,True,0.5740468373613397,0.5740468373613397,True,-0.42595316263866034,1.5275541798746603e-08,0.0,3.2212143586772977e-16,0.4071736821706131,1.0,0.0024559544091088455,-0.00011880571419009556,0.010000000000000009,5.613021433901225e-15,NO_HIT
0,spectrum_local,0.35,0.12,False,0.5731584977015465,0.5731584977015465,True,-0.4268415022984535,8.320850530913362e-09,2.220446049250313e-16,2.3943417171406026e-16,0.3991271861906494,1.0,0.002062329322623104,-9.181018010995246e-05,0.008231316995370275,5.613021433901225e-15,NO_HIT
1,one_basis_rotation,0.35,0.12,False,0.5716831668186735,0.5716831668186735,True,-0.4283168331813265,2.531646056313437e-09,-1.1102230246251565e-16,4.050351111067852e-16,0.2852508550515921,1.0,0.0020983342122310286,-6.284460125005609e-05,0.0059855162822290975,5.5755055154235234e-15,NO_HIT
2,three_basis_rotations,0.35,0.12,True,0.5711133430290273,0.5711133430290273,True,-0.4288866569709727,1.0950119016021858e-08,-2.220446049250313e-16,3.28534158928162e-16,0.44405782077173983,1.0,0.0031011435158347996,-0.00021399991912396388,0.013770870315420125,5.482075051630086e-15,NO_HIT
3,source_restart,0.5249999999999999,0.12,False,0.5527504131134648,0.5527504131134648,True,-0.44724958688653516,6.616389896533712e-09,0.0,3.6341445506729763e-16,0.2432161877400419,1.0,0.005220056539415228,-0.0006329188594564883,0.012696022513040472,5.61682256822562e-15,NO_HIT
4,spectrum_local,0.35,0.12,True,0.5698759366508224,0.5698759366508224,True,-0.43012406334917763,3.3380088085416198e-09,0.0,6.027138243656689e-16,0.3744398531683416,1.0,0.00189330710648329,-7.914968885991414e-05,0.007089296349541807,5.482075051630086e-15,NO_HIT
5,one_basis_rotation,0.35,0.12,False,0.566857454698169,0.566857454698169,True,-0.43314254530183105,1.0119903377609267e-09,2.220446049250313e-16,2.0453675772453336e-16,0.33331008074305485,1.0,0.001738559704333178,-6.727696409658535e-05,0.005794794754279131,5.499376741628047e-15,NO_HIT
6,three_basis_rotations,0.35,0.12,False,0.5686613663426211,0.5686613663426211,True,-0.4313386336573789,5.614734695577838e-09,2.220446049250313e-16,3.4461561069857954e-16,0.3667226968408475,1.0,0.002468552369661635,-0.00011634107027536089,0.009052741822951793,5.504443925639281e-15,NO_HIT
7,source_restart,0.5249999999999999,0.12,True,0.5640230344885853,0.5640230344885853,True,-0.43597696551141474,6.7012444584531705e-09,0.0,2.1274060328920277e-16,0.4198299431044263,1.0,0.0017825066767175807,-6.694831669395995e-05,0.007483496766696018,5.474116246402311e-15,NO_HIT
8,spectrum_local,0.35,0.12,True,0.5638582247244139,0.5638582247244139,True,-0.43614177527558606,3.267230519377626e-09,0.0,1.1986497232543502e-16,0.3558800719366798,1.0,0.0016348665867910136,-4.7921868742584195e-05,0.005818164385140601,5.474116246402311e-15,NO_HIT
9,one_basis_rotation,0.35,0.12,False,0.5601169070016678,0.5601169070016678,True,-0.43988309299833217,6.988977708127643e-10,0.0,4.319010391568737e-16,0.3315485106057326,1.0,0.0012765947716612599,-2.894167743772158e-05,0.00423253095191356,5.528044685249031e-15,NO_HIT
10,three_basis_rotations,0.35,0.12,False,0.5598151138365106,0.5598151138365106,True,-0.4401848861634894,2.1687771017810914e-09,0.0,8.709501267533249e-16,0.3367012920131508,1.0,0.0022680923376186355,-9.871766836333506e-05,0.00763669620481322,5.524687827086732e-15,NO_HIT
11,source_restart,0.5249999999999999,0.12,False,0.5594776392379794,0.5594776392379794,True,-0.44052236076202056,7.468892623738884e-09,0.0,3.483156081365635e-16,0.2708444294300474,1.0,0.002014391115808581,-5.2559994859535664e-05,0.005455866124101316,5.560721059294359e-15,NO_HIT
12,spectrum_local,0.35,0.12,False,0.5603096462886517,0.5603096462886517,True,-0.43969035371134835,2.3925458335521627e-09,-2.220446049250313e-16,3.59628037262335e-16,0.3499824747776156,1.0,0.0020528664541946784,-6.126559454067149e-05,0.007184672820270022,5.474116246402311e-15,NO_HIT
13,one_basis_rotation,0.35,0.12,False,0.5627131064222589,0.5627131064222589,True,-0.4372868935777411,9.627556468421166e-10,-3.3306690738754696e-16,3.8071048851300837e-16,0.30276991087769634,1.0,0.0009411073208137602,-1.2430135718943802e-05,0.0028493897964912973,5.462261825544722e-15,NO_HIT
14,three_basis_rotations,0.35,0.12,False,0.5563662143868338,0.5563662143868338,True,-0.44363378561316624,6.31884274819195e-09,-3.3306690738754696e-16,3.4416224754741773e-16,0.34179833848422797,1.0,0.0020614846178033104,-6.302635636323828e-05,0.007046120171759651,5.54566857836375e-15,NO_HIT
15,source_restart,0.5249999999999999,0.12,False,0.5459852261778887,0.5459852261778887,True,-0.4540147738221113,3.952197939415055e-09,2.220446049250313e-16,2.707200226624291e-16,0.35776228985509284,1.0,0.003231777956492673,-0.00022607432171461994,0.011658931321136157,5.570066860444829e-15,NO_HIT
16,spectrum_local,0.35,0.12,False,0.5618300069233733,0.5618300069233733,True,-0.43816999307662674,2.4852426680387602e-09,2.220446049250313e-16,3.430146570749824e-16,0.41570207856697805,1.0,0.0012626413756940914,-4.672466943844711e-05,0.005248826443607024,5.474116246402311e-15,NO_HIT
17,one_basis_rotation,0.35,0.12,True,0.5625602582755319,0.5625602582755319,True,-0.4374397417244681,2.8951794277418582e-09,0.0,2.792296536072854e-16,0.3113861822164909,1.0,0.0018425538061271043,-4.305125290837708e-05,0.005737457952183833,5.508380039253385e-15,NO_HIT
18,three_basis_rotations,0.35,0.12,False,0.5562559675502401,0.5562559675502401,True,-0.4437440324497599,7.987218920871338e-09,0.0,2.5762383815413114e-16,0.37619336657322405,1.0,0.0022249610492047728,-7.293607075453679e-05,0.008370155875946361,5.556508480541578e-15,NO_HIT
19,source_restart,0.5249999999999999,0.12,True,0.5541489387822742,0.5541489387822742,True,-0.4458510612177258,5.051113314600509e-10,0.0,2.0650240550767623e-16,0.31991592449516837,1.0,0.002667052167905499,-0.0001725478812346637,0.008532324599723307,5.624264752428761e-15,NO_HIT
20,spectrum_local,0.35,0.12,True,0.5570139621112037,0.5570139621112037,True,-0.4429860378887963,3.621093326089102e-10,0.0,2.836637035055171e-16,0.26982543460337083,1.0,0.0023895529234395415,-9.452761971395773e-05,0.006447621560748296,5.624264752428761e-15,NO_HIT
21,one_basis_rotation,0.35,0.12,False,0.5547746964459322,0.5547746964459322,True,-0.44522530355406775,1.9122468602408646e-10,0.0,1.9704533466018095e-16,0.2798757794637125,1.0,0.003244315421186748,-0.00016486376440294492,0.009080053073307837,5.5888869080558954e-15,NO_HIT
22,three_basis_rotations,0.35,0.12,True,0.5555302141234758,0.5555302141234758,True,-0.4444697858765242,3.083667453293207e-10,0.0,2.3114093359606097e-16,0.2608432830874259,1.0,0.0029112051594990425,-0.00012285466426753544,0.007593683115447836,5.6322504230703365e-15,NO_HIT
23,source_restart,0.5249999999999999,0.12,True,0.5615555021458352,0.5615555021458352,True,-0.43844449785416484,1.7501879067676523e-09,0.0,2.4140542379432486e-16,0.4429345148611879,1.0,0.003071824164086601,-0.00028474629916086514,0.013606169458585726,5.470348707282429e-15,NO_HIT
24,spectrum_local,0.35,0.12,False,0.5558120302561149,0.5558120302561149,True,-0.4441879697438851,1.3206473247055518e-09,2.220446049250313e-16,4.592741251454012e-16,0.3713436429727742,1.0,0.0034006105904587657,-0.000273458650184466,0.01262795124992755,5.470348707282429e-15,NO_HIT
25,one_basis_rotation,0.35,0.12,True,0.5596611075754654,0.5596611075754654,True,-0.4403388924245346,1.53961571022101e-09,0.0,2.920821683192813e-16,0.3278773534065347,1.0,0.0036478574699906753,-0.00024798832573758034,0.011960498528648,5.5269129550602145e-15,NO_HIT
26,three_basis_rotations,0.35,0.12,True,0.5597396301613089,0.5597396301613089,True,-0.4402603698386911,2.0934774565121987e-09,0.0,2.225570667667843e-16,0.31035434173706095,1.0,0.0033090538560042373,-0.00019189644263750694,0.010269792312526782,5.493727715091561e-15,NO_HIT
27,source_restart,0.5249999999999999,0.12,False,0.5550891544014095,0.5550891544014095,True,-0.4449108455985905,1.0245348294959815e-09,0.0,2.9919027666871113e-16,0.40157798312800025,1.0,0.0013915248386716084,-4.1903508244622856e-05,0.005756864964758135,5.6051031902330434e-15,NO_HIT
28,spectrum_local,0.35,0.12,True,0.5655151802025105,0.5655151802025105,True,-0.43448481979748954,5.3553301621258325e-09,-3.3306690738754696e-16,3.534058723731348e-16,0.26724277059139256,1.0,0.003076252495752208,-0.00011136631814601117,0.008221062400035062,5.493727715091561e-15,NO_HIT
29,one_basis_rotation,0.35,0.12,True,0.5667023560514783,0.5667023560514783,True,-0.43329764394852166,4.339154171048505e-09,0.0,1.0509294241922709e-16,0.27136715144094026,1.0,0.0023604686192930813,-6.52725402510157e-05,0.006405536452832927,5.509407244417773e-15,NO_HIT
30,three_basis_rotations,0.35,0.12,False,0.5621781912842054,0.5621781912842054,True,-0.43782180871579457,2.2267505943424e-08,-1.1102230246251565e-16,3.1682232670071106e-16,0.38280329033197724,1.0,0.003385002872303128,-0.0001615537805133016,0.012957902373008312,5.661148936779407e-15,NO_HIT
31,source_restart,0.5249999999999999,0.12,False,0.5627765996794019,0.5627765996794019,True,-0.43722340032059814,1.2749730686561279e-09,0.0,6.074704688983962e-16,0.37241659883096906,1.0,0.0014649597844874898,-4.939527593794679e-05,0.005455753403629804,5.503281527942192e-15,NO_HIT
32,spectrum_local,0.35,0.12,False,0.5633675270807781,0.5633675270807781,True,-0.4366324729192219,4.618510655495395e-09,-2.220446049250313e-16,1.2734513887559092e-16,0.27475185694377985,1.0,0.0026024720731337935,-7.223362508668174e-05,0.007150340347378381,5.509407244417773e-15,NO_HIT
33,one_basis_rotation,0.35,0.12,True,0.5642679666008709,0.5642679666008709,True,-0.43573203339912914,1.5979240823706367e-09,0.0,2.08660382579563e-16,0.25448431899616114,1.0,0.001396511296605557,-2.590365429000485e-05,0.0035539022628711114,5.575894652903586e-15,NO_HIT
34,three_basis_rotations,0.35,0.12,True,0.563331761023728,0.563331761023728,True,-0.43666823897627205,2.6521894288408e-09,4.440892098500626e-16,3.3212192279265094e-16,0.24054627925305272,1.0,0.0015486434171145666,-2.6843070072501973e-05,0.003725204118766423,5.6075731439137495e-15,NO_HIT
35,source_restart,0.5249999999999999,0.12,False,0.5541747677826017,0.5541747677826017,True,-0.44582523221739834,1.5910759900548173e-08,0.0,2.8834241104651415e-16,0.3981922830037098,1.0,0.001132266822237601,-1.907053734839792e-05,0.00450859910916146,5.666289061087833e-15,NO_HIT
36,spectrum_local,0.35,0.12,False,0.5596457929065137,0.5596457929065137,True,-0.44035420709348627,1.1517902833215456e-09,0.0,2.5230932915794687e-16,0.20981296087631107,1.0,0.0012075701816814989,-1.5908298568234613e-05,0.002533638752845402,5.6075731439137495e-15,NO_HIT
37,one_basis_rotation,0.35,0.12,False,0.5506663099085141,0.5506663099085141,True,-0.44933369009148594,2.5964916001117667e-09,0.0,2.2034527433437222e-16,0.28362171442621376,1.0,0.0019278434920065425,-4.63984070915302e-05,0.005467782763483142,5.687251179136318e-15,NO_HIT
38,three_basis_rotations,0.35,0.12,False,0.5502346669245821,0.5502346669245821,True,-0.4497653330754179,4.685352173764088e-09,-1.1102230246251565e-16,2.304585950929879e-16,0.31770470988198307,1.0,0.0017988353241463217,-4.4342622593340764e-05,0.005714984547833701,5.679081874553208e-15,NO_HIT
39,source_restart,0.5249999999999999,0.12,True,0.5663046972468561,0.5663046972468561,True,-0.43369530275314394,7.498918486987554e-09,0.0,2.8597539003707874e-16,0.3760340114977583,1.0,0.0017011660655398043,-5.1132570170864255e-05,0.0063969629984879095,5.50346214365179e-15,NO_HIT
40,spectrum_local,0.35,0.12,True,0.5642006458466937,0.5642006458466937,True,-0.4357993541533063,5.5612799822139245e-09,-2.220446049250313e-16,3.5389671023873435e-16,0.39601192867134816,1.0,0.002663536733108712,-0.00011587234610654917,0.01054792318765363,5.50346214365179e-15,NO_HIT
41,one_basis_rotation,0.35,0.12,False,0.555594033428501,0.555594033428501,True,-0.444405966571499,8.484179043593035e-09,0.0,1.727668145450619e-16,0.40894639787585474,1.0,0.00218781929343553,-7.578522663020948e-05,0.008947008192537576,5.519489861060862e-15,NO_HIT
42,three_basis_rotations,0.35,0.12,False,0.5577223358994996,0.5577223358994996,True,-0.4422776641005004,8.511758530088079e-09,0.0,1.8506297272693366e-16,0.4386792130765763,1.0,0.003516092793125015,-0.00018608048572144043,0.015456624757163473,5.634389464695479e-15,NO_HIT
43,source_restart,0.5249999999999999,0.12,True,0.5640028521709741,0.5640028521709741,True,-0.4359971478290259,7.912728156882048e-09,-2.220446049250313e-16,4.792528715654482e-16,0.42032823823633303,1.0,0.004766119251396543,-0.0003603715530084983,0.020033345081637795,5.5139708563391464e-15,NO_HIT
44,spectrum_local,0.35,0.12,False,0.5608859573060025,0.5608859573060025,True,-0.43911404269399745,9.217036201215137e-09,0.0,2.760726392513057e-16,0.45768536102685914,1.0,0.005795219370724285,-0.0004959720154475988,0.02652387069919792,5.5139708563391464e-15,NO_HIT
45,one_basis_rotation,0.35,0.12,True,0.5653989996156583,0.5653989996156583,True,-0.4346010003843417,3.4703252319594862e-09,0.0,2.884157750653652e-16,0.3923632506535342,1.0,0.0040002189976199665,-0.00029978924973583787,0.016866064477375042,5.598246638847106e-15,NO_HIT
46,three_basis_rotations,0.35,0.12,True,0.5593678678932958,0.5593678678932958,True,-0.44063213210670416,3.68431786126297e-09,0.0,6.567903532643771e-16,0.3696235978136939,1.0,0.002125428627889826,-8.08190885788207e-05,0.007856085763368603,5.466421152345979e-15,NO_HIT
47,source_restart,0.5249999999999999,0.12,True,0.5575398941297183,0.5575398941297183,True,-0.44246010587028173,2.441111792014392e-08,0.0,2.1055458035918388e-16,0.46336205750106735,1.0,0.0021114231133689894,-0.00010339331280473374,0.009783533580659642,5.623721477189712e-15,NO_HIT
48,spectrum_local,0.35,0.12,True,0.5557284245964362,0.5557284245964362,True,-0.44427157540356377,1.257247972901819e-08,0.0,3.083695293418392e-16,0.3805306994427709,1.0,0.0020037971973132784,-6.526274389528908e-05,0.0076250634903508585,5.623721477189712e-15,NO_HIT
49,one_basis_rotation,0.35,0.12,True,0.5566898386802741,0.5566898386802741,True,-0.4433101613197259,4.783643172248149e-09,0.0,1.1635185226278318e-16,0.3809821540077861,1.0,0.0021220121208102485,-8.452124571256547e-05,0.00808448748616919,5.630736181073302e-15,NO_HIT
50,three_basis_rotations,0.35,0.12,True,0.5550763217090845,0.5550763217090845,True,-0.4449236782909155,5.061768696716003e-09,-1.1102230246251565e-16,4.660544736769518e-16,0.4067963447906568,1.0,0.0022279589698593755,-0.00011019707021908687,0.00906325565282351,5.602179099631517e-15,NO_HIT
51,source_restart,0.5249999999999999,0.12,True,0.5615622087287971,0.5615622087287971,True,-0.43843779127120286,3.161463117629311e-08,0.0,3.6203845075598843e-16,0.3937973676779677,1.0,0.0019853178359822534,-5.77097028360285e-05,0.007818129378139305,5.6427695561090075e-15,NO_HIT
52,spectrum_local,0.35,0.12,True,0.5701086686361261,0.5701086686361261,True,-0.4298913313638739,1.6109181351667834e-08,4.440892098500626e-16,2.045682164994123e-16,0.3532006805106418,1.0,0.0018754834938936827,-5.2360914436277994e-05,0.006624220463297248,5.6427695561090075e-15,NO_HIT
53,one_basis_rotation,0.35,0.12,True,0.5651002299625727,0.5651002299625727,True,-0.4348997700374273,3.641551128155372e-08,2.220446049250313e-16,1.7186538642059934e-16,0.43967001788667215,1.0,0.0019827906258071347,-7.265944988610329e-05,0.008717735899141488,5.677140320910108e-15,NO_HIT
54,three_basis_rotations,0.35,0.12,True,0.5586735317508844,0.5586735317508844,True,-0.4413264682491156,2.466765426885838e-08,2.220446049250313e-16,2.2157315431614873e-16,0.49619415940299766,1.0,0.0033173218791514958,-0.00019930065106255057,0.01646035741294749,5.637637618285416e-15,NO_HIT
55,source_restart,0.5249999999999999,0.12,True,0.5707734686184919,0.5707734686184919,True,-0.4292265313815081,1.7977339240413833e-08,-2.220446049250313e-16,1.8790534779935043e-16,0.47641883703649224,1.0,0.005710327999044325,-0.0005507465881562368,0.02741363534414132,5.6594854242120084e-15,NO_HIT
