index,label,spectral_scale,basis_scale,accepted,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,spectrum_margin,basis_orthogonality_residual,status
-1,source_base,0.0,0.0,True,0.24254922104174284,0.24254922104174284,True,-0.7574507789582572,4.146101393971251e-05,0.0,1.3756227283687173e-16,0.8607003304467966,1.0,0.01,-0.0022021399992375734,0.21999999999999997,5.54012239696602e-15,NO_HIT
0,spectrum_local,0.35,0.12,False,0.2348519101487565,0.2348519101487565,True,-0.7651480898512435,3.033045042695966e-05,0.0,9.63618852749772e-17,0.5792408857209729,1.0,0.01,-0.0013775752604736624,0.19999999999999996,5.54012239696602e-15,NO_HIT
1,one_basis_rotation,0.35,0.12,False,0.21253840619656278,0.21253840619656278,True,-0.7874615938034373,3.1389324901371236e-05,0.0,1.2988142696828366e-16,0.5985000658996792,1.0,0.01,-0.0014930828254549056,0.2,5.582645249902874e-15,NO_HIT
2,three_basis_rotations,0.35,0.12,False,0.23139197727428162,0.23139197727428162,True,-0.7686080227257184,2.4485508778636358e-05,-3.3306690738754696e-16,1.8130062037206597e-16,0.44878384073484473,1.0,0.01,-0.0013940138621499898,0.19999999999999996,5.638686127359682e-15,NO_HIT
3,source_restart,0.5249999999999999,0.12,True,0.2493552491761912,0.2493552491761912,True,-0.7506447508238088,2.1054035597139753e-05,-2.220446049250313e-16,1.7682173522622489e-16,0.3360771116662266,1.0,0.01,-0.0012775003423293185,0.19999999999999996,5.629683730176046e-15,NO_HIT
4,spectrum_local,0.35,0.12,False,0.2308021066171948,0.2308021066171948,True,-0.7691978933828052,2.5432825499854796e-05,-2.220446049250313e-16,1.3467550206178863e-16,0.25820280464088063,1.0,0.01,-0.0012507385789017889,0.19999999999999996,5.629683730176046e-15,NO_HIT
5,one_basis_rotation,0.35,0.12,False,0.21710388721435342,0.21710388721435342,True,-0.7828961127856466,2.9675814904219306e-05,0.0,1.5567528510723125e-16,0.24801477568852473,1.0,0.01,-0.0010093320600912392,0.19999999999999996,5.6445720246424004e-15,NO_HIT
6,three_basis_rotations,0.35,0.12,True,0.26035722500185476,0.26035722500185476,True,-0.7396427749981452,1.4031486957891455e-05,-1.1102230246251565e-16,2.011446361552511e-16,0.3235889931318533,1.0,0.01,-0.0013496475036252065,0.19999999999999996,5.705557320260591e-15,NO_HIT
7,source_restart,0.5249999999999999,0.12,False,0.136011130056499,0.136011130056499,True,-0.863988869943501,3.753680187795948e-05,-3.3306690738754696e-16,1.0784142989888266e-16,0.13577572467001656,1.0,0.01,-0.0011046143045359003,0.2,5.596369941363761e-15,NO_HIT
8,spectrum_local,0.35,0.12,False,0.22588378691249905,0.22588378691249905,True,-0.774116213087501,1.1667503704325552e-05,0.0,9.869229337550146e-17,0.24238218888628843,1.0,0.01,-0.0013039319531777949,0.19999999999999996,5.705557320260591e-15,NO_HIT
9,one_basis_rotation,0.35,0.12,False,0.24059495577971876,0.24059495577971876,True,-0.7594050442202812,1.4093957133148028e-05,0.0,3.295894640576211e-16,0.5336819946935487,1.0,0.01,-0.001275808174609594,0.19999999999999996,5.739706959720901e-15,NO_HIT
10,three_basis_rotations,0.35,0.12,False,0.24769086230683676,0.24769086230683676,True,-0.7523091376931632,1.3472731382816734e-05,0.0,1.3051149880251965e-16,0.42705063217798356,1.0,0.01,-0.0013198130121256924,0.19999999999999996,5.612220825909935e-15,NO_HIT
11,source_restart,0.5249999999999999,0.12,False,0.21804776199764125,0.21807379232835897,False,-0.7819522380023587,2.2687111556755114e-05,-1.1102230246251565e-16,3.4854262023112285e-16,0.00992613180875012,1.0,0.01,-0.0012580402898620946,0.19999999999999996,5.500394200449639e-15,NO_HIT
12,spectrum_local,0.35,0.12,False,0.22120447495260184,0.22120447495260184,True,-0.7787955250473981,1.4522391998474165e-05,0.0,1.5640841287391036e-16,0.20714412994126602,1.0,0.01,-0.001389725937839259,0.19999999999999996,5.705557320260591e-15,NO_HIT
13,one_basis_rotation,0.35,0.12,False,0.2223107013654666,0.2223107013654666,True,-0.7776892986345334,3.303581810653107e-05,0.0,9.235644485677858e-17,0.47010432015226683,1.0,0.01,-0.001275829673915041,0.19999999999999996,5.737863884825878e-15,NO_HIT
14,three_basis_rotations,0.35,0.12,False,0.2088307944468068,0.2088307944468068,True,-0.7911692055531931,1.5111607330662613e-05,-2.220446049250313e-16,1.535449447373327e-16,0.1210776628352725,1.0,0.01,-0.0009723580095446493,0.19999999999999996,5.642789466910682e-15,NO_HIT
15,source_restart,0.5249999999999999,0.12,False,0.1972920230871582,0.1972920230871582,True,-0.8027079769128418,3.827107962246521e-05,0.0,2.4650050085243966e-16,0.5680687624809603,1.0,0.01,-0.0014407354445147291,0.19999999999999996,5.692514401785005e-15,NO_HIT
16,spectrum_local,0.35,0.12,False,0.19234883442862968,0.19234883442862968,True,-0.8076511655713703,1.6300343207829967e-05,0.0,1.5326747197135313e-16,0.5541290744594128,1.0,0.01,-0.0017399459719591448,0.19999999999999996,5.705557320260591e-15,NO_HIT
17,one_basis_rotation,0.35,0.12,True,0.2621351292585001,0.2621351292585001,True,-0.7378648707414999,1.5369529112626527e-05,2.220446049250313e-16,9.494053883894952e-17,0.2579712563375878,1.0,0.01,-0.0014722293692255306,0.19999999999999996,5.720473820744826e-15,NO_HIT
18,three_basis_rotations,0.35,0.12,False,0.21891988170564938,0.21891988170564938,True,-0.7810801182943506,2.1161374463256203e-05,0.0,1.1404854528444472e-16,0.5265124044739693,1.0,0.01,-0.0015009018451515033,0.19999999999999996,5.7564674966261554e-15,NO_HIT
19,source_restart,0.5249999999999999,0.12,True,0.2602281800801635,0.2602281800801635,True,-0.7397718199198364,2.1279826712641823e-05,2.220446049250313e-16,2.2441705709529833e-16,0.27874061674260814,1.0,0.01,-0.001385452232529616,0.19999999999999996,5.5694148446126565e-15,NO_HIT
20,spectrum_local,0.35,0.12,False,0.2097336209404991,0.2097336209404991,True,-0.7902663790595009,3.933253709939241e-05,0.0,2.050222151906171e-16,0.48192693037880047,1.0,0.01,-0.001473462860428043,0.2,5.5694148446126565e-15,NO_HIT
21,one_basis_rotation,0.35,0.12,False,0.23984903825201315,0.23984903825201315,True,-0.7601509617479869,1.940406763076798e-05,0.0,2.3586215294725895e-16,0.31426365554539987,1.0,0.01,-0.0012613262778167211,0.19999999999999996,5.575278991089617e-15,NO_HIT
22,three_basis_rotations,0.35,0.12,False,0.23822081826462171,0.23822081826462171,True,-0.7617791817353783,2.8854116165054367e-05,-2.220446049250313e-16,1.3016500945660329e-16,0.42700839985466604,1.0,0.01,-0.0013282863092118902,0.19999999999999996,5.443052727710593e-15,NO_HIT
