index,n,mode,margin,entropy,min_atom,normalization_residual,lambda_max_coordinate,lambda_max,fisher_along_top,acceleration_along_top,fisher_max_eigenvalue,acceleration_max_eigenvalue,mechanism_ratio,mechanism_fisher,mechanism_acceleration,mechanism_total,mechanism_rank,direction_rank,direction_singular_1,direction_singular_2,step,gap,endpoint_margin,status
0,3,0,0.3495910785855565,2.0594103000289508,0.0938400273698547,0.0,-0.16540961888093353,-0.16502597268923513,-0.11001335407340705,-0.05501261861582751,-0.11026706769752004,0.19122968856434552,0.045203449973677694,-0.9999999999999991,0.04520344997367765,-0.9547965500263215,3,3,0.9999999999999997,0.9976748375217213,0.08849586475311398,-0.0011505800866675742,0.3033850777066974,NO_HIT
1,3,1,0.0006519903085554249,1.422145871436305,8.976002894251636e-05,0.0,-6.5263854680277165,-11.939401724399673,-4.527432009019425,-7.411969715380378,-2.295893503215105,7.116636342879201,0.2661961128663037,-0.9999999999999989,0.2661961128663034,-0.7338038871336955,3,3,0.9999999999999998,0.954714043851037,0.00829459270648364,-0.00041085305488941515,0.0006252525219115242,NO_HIT
2,3,2,0.039999999999999813,1.6655497189306796,0.019199999999999957,0.0,-4.269456608943016,-3.5986207295284407,-3.754978823647998,0.15635809411955354,-2.5932245025112035,3.6803051449331,0.31541306729885576,-1.0000000000000009,0.31541306729885604,-0.6845869327011449,3,3,1.0,0.3583656113728252,0.0717803533166375,-0.009336275265553029,0.03596832149444418,NO_HIT
3,3,3,0.09441275295933116,1.664566904637184,0.016323679843060015,0.0,-0.002863813611375036,-0.0028638131430899503,-0.00190918815132,-0.000954624991767794,-0.001909188455636184,0.05499150582183304,0.007843145619117635,-1.0000000000000002,0.007843145619117637,-0.9921568543808826,3,3,1.0,0.9999998364760216,0.04544507827608649,-0.00010204389102463907,0.08931763707532003,NO_HIT
4,3,0,0.09197273363322624,1.8705999752969822,0.021858096070800637,2.220446049250313e-16,-0.21496186897159622,-0.21476943070496388,-0.14322111061991216,-0.07154832008505085,-0.1433397944037065,1.8123171736792567,0.24762856611642547,-0.9999999999999989,0.2476285661164252,-0.7523714338835736,3,3,1.0000000000000002,0.9990956771875918,0.05845449030124335,-0.0004941948957184472,0.08641152292248376,NO_HIT
5,3,1,9.999999999999065e-05,1.6031276308170883,3.0249629380794414e-05,0.0,-0.10409958754214475,-0.10409947605256724,-0.06937527119510317,-0.03472420485746497,-0.06937089268700392,7.607276772030041,0.04697300753331889,-0.9999999999999868,0.046973007533318276,-0.9530269924666686,3,3,0.9999999999999999,0.9999989276454111,0.0014072453912015936,-1.525039354799418e-07,9.521756661116742e-05,NO_HIT
6,3,2,0.03999999999999999,1.6831625588425383,0.008969089378820027,0.0,-3.032759309857558,-2.9377568543250048,-1.7575204677245506,-1.1802363866004557,-1.634682994984376,3.5645383941249396,0.3028264053670786,-1.0000000000000018,0.30282640536707917,-0.6971735946329226,3,3,1.0000000000000002,0.9568949680234262,0.029812059315822505,-0.0013330648784217747,0.03650727195309211,NO_HIT
7,3,3,0.10966277040016514,1.729752336527719,0.015251400460356637,0.0,-0.1025536470947419,-0.10247723534415436,-0.06831120308902351,-0.034166032255128376,-0.06836154001759293,0.3436902370472547,0.05544210573917416,-0.9999999999999998,0.055442105739174144,-0.9445578942608256,3,3,1.0,0.9992538898673791,0.064232297697614,-0.00036188642729051423,0.10530391406642259,NO_HIT
8,3,0,0.2760773657411162,1.9821696693396489,0.05437021881059854,0.0,-0.01720046130555376,-0.017199594596659137,-0.01146621956207322,-0.005733375034586707,-0.011466795077517224,0.1005951946620306,0.022409160404952666,-1.0,0.022409160404952666,-0.9775908395950473,3,3,1.0,0.9999496084659,0.08386039239016882,-0.0004976946526258352,0.2541208794572355,NO_HIT
9,3,1,9.999999999998899e-05,1.0036628208796912,7.021773269806962e-05,1.1102230246251565e-16,-3.3756112512516427,-3.325744460185891,-2.444678066191632,-0.8810663939943171,-1.8656891286730042,11.451185598331554,0.04632961252622405,-0.9999999999999929,0.046329612526223724,-0.9536703874737692,3,3,1.0000000000000004,0.9834427178348303,0.003708548686381605,-2.3166805038110638e-05,9.9366081166119e-05,NO_HIT
10,3,2,0.03999999999999999,1.3060820710296217,0.007769274075227574,0.0,-4.086500479802152,-3.7214011992106304,-3.7305309654304244,0.009129766219793663,-2.6057581366905187,2.4002391658533764,0.19773543469203833,-1.0000000000000009,0.1977354346920385,-0.8022645653079624,3,3,1.0,0.14587318282853934,0.08681406271535498,-0.014106575540260291,0.037670773067224106,NO_HIT
11,3,3,0.19282733670540197,1.7092791497970574,0.01645031507220632,0.0,-0.03335358643997871,-0.033346125206756706,-0.02223858673916182,-0.011107538467594935,-0.02224355593075502,0.10599918541320419,0.020475715847903503,-1.0,0.020475715847903503,-0.9795242841520965,3,3,1.0,0.999776265028127,0.0412262602906245,-7.72534781523504e-05,0.1617414852152116,NO_HIT
12,3,0,0.266762688833289,1.8681252942195266,0.032023942522968314,0.0,-0.0018519526085482535,-0.0018519465939602425,-0.0012346450830598692,-0.0006173015109005586,-0.0012346490897518685,0.020216995001207737,0.004497311086271271,-1.0000000000000007,0.0044973110862712735,-0.9955026889137294,3,3,1.0,0.9999967522919069,0.05971783322820578,-0.00014827351908675013,0.23128894126627664,NO_HIT
13,3,1,0.0072293932927895085,0.6571244538672797,0.00024599535209257346,0.0,-1.2934347126200576,-1.2917428679542842,-0.8404562519443581,-0.4512866160099289,-0.8408569823159517,1.1550649285284336,0.03585164485152164,-1.0000000000000004,0.035851644851521654,-0.9641483551484787,3,3,0.9999999999999997,0.9984789472616855,0.014724004297245586,-0.0001416843698481829,0.006194069761452011,NO_HIT
