base_id,n,mode,kind,step_fraction,step,status,gap,curvature,H_mid,H_minus,H_plus,min_probability,normalization_residual,mobius_max_error,finite_difference_curvature,min_diagonal_separation,min_cross_block_bridge,min_supported_edge,exact_margin_mid,exact_margin_minus,exact_margin_plus,error
n8_00,8,0,BASE,,,NO_SIGNAL,,-0.3752865486646762,5.507773426820899,,,0.0020763097606516182,0.0,1.4354836763708079e-16,-0.37528664620367636,0.014897066211999987,0.110897378125,0.085591441945,0.114999,,,
n8_00,8,0,CHORD,0.15,0.013242407214467485,NO_SIGNAL,-3.2964170535443316e-05,-0.3752865486646762,5.507773426820899,5.507822532129126,5.507658393171601,0.002059683958655201,3.3306690738754696e-16,,,0.014870687775000002,0.110865490464,0.076502725654,0.114999,0.115971,0.113777,
n8_00,8,0,CHORD,0.4,0.03531308590524663,NO_SIGNAL,-0.0002369677280240623,-0.3752865486646762,5.507773426820899,5.507787867808584,5.507285050377166,0.0020276989013028515,0.0,,,0.014826723713000034,0.110812344362,0.061354865168,0.114999,0.117065,0.111222,
n8_00,8,0,CHORD,0.8,0.07062617181049326,NO_SIGNAL,-0.0009836090830059874,-0.3752865486646762,5.507773426820899,5.5075200166262555,5.50605961884953,0.0019653409075066994,0.0,,,0.01475638121399997,0.110727310598,0.037118288391,0.114999,0.117801,0.106086,
n8_01,8,1,BASE,,,NO_SIGNAL,,-1.056425713418532,5.381372333761977,,,0.00031397330939294464,2.220446049250313e-16,2.7560419224581523e-16,-1.056425702472552,0.023827862822,0.143282874246,0.139742550013,0.029999,,,
n8_01,8,1,CHORD,0.15,0.026841257820006754,NO_SIGNAL,-0.00038171416743892905,-1.056425713418532,5.381372333761977,5.381434854397838,5.380546384791239,0.0003058027755295588,2.220446049250313e-16,,,0.023504473625000022,0.143074125918,0.122531167511,0.029999,0.029001,0.030867,
n8_01,8,1,CHORD,0.4,0.07157668752001801,NO_SIGNAL,-0.0027651142365936465,-1.056425713418532,5.381372333761977,5.379489080564139,5.377725358486629,0.000287980798062536,2.220446049250313e-16,,,0.022965491631000035,0.142726212038,0.093845530009,0.029999,0.027025,0.03204,
n8_01,8,1,CHORD,0.8,0.14315337504003603,NO_SIGNAL,-0.011781236826356789,-1.056425713418532,5.381372333761977,5.3692506437028955,5.369931550168344,0.00024787763148504267,2.220446049250313e-16,,,0.022103120440000013,0.14216954983,0.047948510004,0.029999,0.022965,0.03328,
n8_02,8,2,BASE,,,NO_SIGNAL,,-1.1016898626195157,5.3376807706440825,,,2.9715770618379773e-05,0.0,9.768661574094395e-17,-1.1016897616400456,0.024485949954999975,0.139320744751,0.139320744751,0.002499,,,
n8_02,8,2,CHORD,0.15,0.015016627785557618,NO_SIGNAL,-0.00012434931072480282,-1.1016898626195157,5.3376807706440825,5.3369686082409045,5.338144234425811,2.6915257130131253e-05,0.0,,,0.024471264283999983,0.128751223228,0.128751223228,0.002499,0.002314,0.002631,
n8_02,8,2,CHORD,0.4,0.04004434076148699,NO_SIGNAL,-0.0008901369235028156,-1.1016898626195157,5.3376807706440825,5.335121249125168,5.338460018315992,2.0959905149778288e-05,3.3306690738754696e-16,,,0.024446788166000044,0.111135354023,0.111135354023,0.002499,0.001875,0.002743,
n8_02,8,2,CHORD,0.8,0.08008868152297398,NO_SIGNAL,-0.00364551515310918,-1.1016898626195157,5.3376807706440825,5.329978172584267,5.338092338397679,8.08340686075817e-06,1.1102230246251565e-16,,,0.024407626377000002,0.082949963295,0.082949963295,0.002499,0.000775,0.002667,
n8_03,8,0,BASE,,,NO_SIGNAL,,-0.377529689641613,5.510986066000422,,,0.0021448221768408655,2.220446049250313e-16,1.196959198423997e-16,-0.377529829620471,0.013929308803999951,0.095290547534,0.089541823861,0.115,,,
