event,S,T,mu,a,b,p_t0,p_t2,p_t4,p_t6
0,0,0,1007118977006003/50000000000000000,6223365089393245108359/5035594885030015000000,479107182265213678115726511/1258898721257503750000000000,1007118977006003/50000000000000000,-6223365089393245108359/250000000000000000000000,479107182265213678115726511/62500000000000000000000000000,0
1,1,0,827194990082997/50000000000000000,3901139448212077256641/4135974950414985000000,68352943961792330726534163/344664579201248750000000000,827194990082997/50000000000000000,-3901139448212077256641/250000000000000000000000,205058831885376992179602489/62500000000000000000000000000,0
2,2,0,876895346672997/50000000000000000,-117208001443530411453/1461492244454995000000,-159701983851978391010841837/365373061113748750000000000,876895346672997/50000000000000000,351624004330591234359/250000000000000000000000,-479105951555935173032525511/62500000000000000000000000000,0
3,3,0,697840416238003/50000000000000000,-1390386356759772130641/3489202081190015000000,-205060062594655497262803489/872300520297503750000000000,697840416238003/50000000000000000,1390386356759772130641/250000000000000000000000,-205060062594655497262803489/62500000000000000000000000000,0
4,4,0,791358102394997/50000000000000000,-82095102929800188359/3956790511974985000000,-379739077614501240621962511/989197627993746250000000000,791358102394997/50000000000000000,82095102929800188359/250000000000000000000000,-379739077614501240621962511/62500000000000000000000000000,0
5,5,0,597973201516003/50000000000000000,-248139727209318176641/2989866007580015000000,-304426936536089429673366489/747466501895003750000000000,597973201516003/50000000000000000,248139727209318176641/250000000000000000000000,-304426936536089429673366489/62500000000000000000000000000,0
6,6,0,685830991926003/50000000000000000,-1523877447176383228547/1143051653210005000000,126579282301740911846253837/285762913302501250000000000,685830991926003/50000000000000000,4571632341529149685641/250000000000000000000000,379737846905222735538761511/62500000000000000000000000000,0
7,7,0,496576974162997/50000000000000000,-3480627004846690949359/2482884870814985000000,3345364475223823458863379/6821112282458750000000000,496576974162997/50000000000000000,3480627004846690949359/250000000000000000000000,304428167245367934756567489/62500000000000000000000000000,0
8,0,1,887084211335247/50000000000000000,273932113701033561849/492824561852915000000,-455719311825142338538737/7247420027248750000000000,887084211335247/50000000000000000,-2465389023309302056641/250000000000000000000000,-69725054709246777796426761/62500000000000000000000000000,0
9,1,1,728604695325753/50000000000000000,1495893394246590578359/3643023476628765000000,-1105276400607587654024157/33731698857673750000000000,728604695325753/50000000000000000,-1495893394246590578359/250000000000000000000000,-29842462816404866658652239/62500000000000000000000000000,0
10,2,1,772381451235753/50000000000000000,120677770622365452151/429100806242085000000,2582402800096998817239843/35758400520173750000000000,772381451235753/50000000000000000,-1086099935601289069359/250000000000000000000000,69724875602618968065475761/62500000000000000000000000000,0
11,3,1,614667412103247/50000000000000000,6049703175953098547/1024445686838745000000,3315849102559186265511471/85370473903228750000000000,614667412103247/50000000000000000,-18149109527859295641/250000000000000000000000,29842641923032676389603239/62500000000000000000000000000,0
12,4,1,697039073013753/50000000000000000,-1212503955743186976641/3485195365068765000000,6140432533680084207962529/96810982363021250000000000,697039073013753/50000000000000000,1212503955743186976641/250000000000000000000000,55263892803120757871662761/62500000000000000000000000000,0
13,5,1,526702999325247/50000000000000000,-946653555118909658359/2633514996626235000000,4922624969170098509268471/73153194350728750000000000,526702999325247/50000000000000000,946653555118909658359/250000000000000000000000,44303624722530886583416239/62500000000000000000000000000,0
14,6,1,604089346415247/50000000000000000,-76130342044814673779/143830796765535000000,-120400247704777664794579/1645123492416250000000000,604089346415247/50000000000000000,1598737182941108149359/250000000000000000000000,-55263713696492948140711761/62500000000000000000000000000,0
15,7,1,437391811245753/50000000000000000,-14369634822877321051/24032517101415000000,-54094998570401338601181/667569919483750000000000,437391811245753/50000000000000000,1307636768881836215641/250000000000000000000000,-44303803829158696314367239/62500000000000000000000000000,0
16,0,2,784566962657647/50000000000000000,214920460569665698641/3922834813288235000000,-326740002220710298800436761/980708703322058750000000000,784566962657647/50000000000000000,-214920460569665698641/250000000000000000000000,-326740002220710298800436761/62500000000000000000000000000,0
17,1,2,644402375203353/50000000000000000,301403621029029645453/1074003958672255000000,-46615124733206658681547413/268500989668063750000000000,644402375203353/50000000000000000,-904210863087088936359/250000000000000000000000,-139845374199619976044642239/62500000000000000000000000000,0
18,2,2,683120003113353/50000000000000000,-1394374571092392857547/1138533338522255000000,108913054301828495719828587/284633334630563750000000000,683120003113353/50000000000000000,4183123713277178572641/250000000000000000000000,326739162905485487159485761/62500000000000000000000000000,0
19,3,2,543632429025647/50000000000000000,-2600072195704535062359/2718162145128235000000,139846213514844787685593239/679540536282058750000000000,543632429025647/50000000000000000,2600072195704535062359/250000000000000000000000,139846213514844787685593239/62500000000000000000000000000,0
20,4,2,616484682491353/50000000000000000,3551898357038617381359/3082423412456765000000,258973256206310357635672761/770605853114191250000000000,616484682491353/50000000000000000,-3551898357038617381359/250000000000000000000000,258973256206310357635672761/62500000000000000000000000000,0
21,5,2,465833758647647/50000000000000000,2746114779326423983641/2329168793238235000000,207612120214019917209406239/582292198309558750000000000,465833758647647/50000000000000000,-2746114779326423983641/250000000000000000000000,207612120214019917209406239/62500000000000000000000000000,0
22,6,2,534276833737647/50000000000000000,-135855730680269502453/890461389562745000000,-86324138963695181998240587/222615347390686250000000000,534276833737647/50000000000000000,407567192040808507359/250000000000000000000000,-258972416891085545994721761/62500000000000000000000000000,0
