family,epsilon,n,Hn_second,increment_second,Hn_second_over_n,conditional_fisher,prediction_vertical,spectral_increment,coherence_increment,coherence_over_abs_spectral,bulk_limit,bulk_correction,min_conditional_p,max_conditional_p,eig_min,eig_max,delta,threshold_status,transition_count,correction_over_transition_count
near_symmetric_m2_least,0.2,2,-4.105292536741581e-09,-4.105292536741581e-09,-2.0526462683707905e-09,-1.3957857059017898e-34,-4.105292536741581e-09,-1.4162410637213743e-07,1.3751881383539584e-07,0.971012755936095,-0.0010471485329255487,0.001047144427633012,0.30227755852963517,0.46176281224116095,0.29241181672738015,0.45795900371653686,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,2,6.875940691769792e-08
near_symmetric_m2_least,0.2,2,-4.105292536741581e-09,-4.105292536741581e-09,-2.0526462683707905e-09,-1.3957857059017898e-34,-4.105292536741581e-09,-1.4162410637213743e-07,1.3751881383539584e-07,0.971012755936095,-0.0010471485329255487,0.001047144427633012,0.30227755852963517,0.46176281224116095,0.29241181672738015,0.45795900371653686,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,2,6.875940691769792e-08
near_symmetric_m2_least,0.2,2,-4.105292536741581e-09,-4.105292536741581e-09,-2.0526462683707905e-09,-1.3957857059017898e-34,-4.105292536741581e-09,-1.4162410637213743e-07,1.3751881383539584e-07,0.971012755936095,-0.0010471485329255487,0.001047144427633012,0.30227755852963517,0.46176281224116095,0.29241181672738015,0.45795900371653686,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,2,6.875940691769792e-08
near_symmetric_m2_least,0.2,2,-4.105292536741581e-09,-4.105292536741581e-09,-2.0526462683707905e-09,-1.3957857059017898e-34,-4.105292536741581e-09,-1.4162410637213743e-07,1.3751881383539584e-07,0.971012755936095,-0.0010471485329255487,0.001047144427633012,0.30227755852963517,0.46176281224116095,0.29241181672738015,0.45795900371653686,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,2,6.875940691769792e-08
near_symmetric_m2_least,0.2,2,-4.105292536741581e-09,-4.105292536741581e-09,-2.0526462683707905e-09,-1.3957857059017898e-34,-4.105292536741581e-09,-1.4162410637213743e-07,1.3751881383539584e-07,0.971012755936095,-0.0010471485329255487,0.001047144427633012,0.30227755852963517,0.46176281224116095,0.29241181672738015,0.45795900371653686,0.2,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,2,6.875940691769792e-08
near_symmetric_m2_least,0.2,3,-8.125404559360013e-08,-7.714875305685854e-08,-2.7084681864533377e-08,-6.214568631026527e-34,-7.714875305685854e-08,-2.916137360895602e-06,2.8389886078387436e-06,0.9735441978517896,-0.0010471485329255487,0.0010470713841724919,0.30227755852963517,0.46176281224116095,0.21215815667653992,0.4592384459077607,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,3,9.463295359462479e-07
near_symmetric_m2_least,0.2,3,-8.125404559360013e-08,-7.714875305685854e-08,-2.7084681864533377e-08,-6.214568631026527e-34,-7.714875305685854e-08,-2.916137360895602e-06,2.8389886078387436e-06,0.9735441978517896,-0.0010471485329255487,0.0010470713841724919,0.30227755852963517,0.46176281224116095,0.21215815667653992,0.4592384459077607,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,3,9.463295359462479e-07
near_symmetric_m2_least,0.2,3,-8.125404559360013e-08,-7.714875305685854e-08,-2.7084681864533377e-08,-6.214568631026527e-34,-7.714875305685854e-08,-2.916137360895602e-06,2.8389886078387436e-06,0.9735441978517896,-0.0010471485329255487,0.0010470713841724919,0.30227755852963517,0.46176281224116095,0.21215815667653992,0.4592384459077607,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,3,9.463295359462479e-07
near_symmetric_m2_least,0.2,3,-8.125404559360013e-08,-7.714875305685854e-08,-2.7084681864533377e-08,-6.214568631026527e-34,-7.714875305685854e-08,-2.916137360895602e-06,2.8389886078387436e-06,0.9735441978517896,-0.0010471485329255487,0.0010470713841724919,0.30227755852963517,0.46176281224116095,0.21215815667653992,0.4592384459077607,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,3,9.463295359462479e-07
near_symmetric_m2_least,0.2,3,-8.125404559360013e-08,-7.714875305685854e-08,-2.7084681864533377e-08,-6.214568631026527e-34,-7.714875305685854e-08,-2.916137360895602e-06,2.8389886078387436e-06,0.9735441978517896,-0.0010471485329255487,0.0010470713841724919,0.30227755852963517,0.46176281224116095,0.21215815667653992,0.4592384459077607,0.2,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,3,9.463295359462479e-07
near_symmetric_m2_least,0.2,4,-6.257079783707431e-07,-5.444539327771429e-07,-1.5642699459268577e-07,-5.734653615584969e-34,-5.444539327771429e-07,-9.018480989761613e-06,8.47402705698447e-06,0.9396290868278988,-0.0010471485329255487,0.0010466040789927715,0.30227755852963517,0.46176281224116095,0.2040225731424385,0.5884020686716706,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,4,2.1185067642461174e-06
near_symmetric_m2_least,0.2,4,-6.257079783707431e-07,-5.444539327771429e-07,-1.5642699459268577e-07,-5.734653615584969e-34,-5.444539327771429e-07,-9.018480989761613e-06,8.47402705698447e-06,0.9396290868278988,-0.0010471485329255487,0.0010466040789927715,0.30227755852963517,0.46176281224116095,0.2040225731424385,0.5884020686716706,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,4,2.1185067642461174e-06
near_symmetric_m2_least,0.2,4,-6.257079783707431e-07,-5.444539327771429e-07,-1.5642699459268577e-07,-5.734653615584969e-34,-5.444539327771429e-07,-9.018480989761613e-06,8.47402705698447e-06,0.9396290868278988,-0.0010471485329255487,0.0010466040789927715,0.30227755852963517,0.46176281224116095,0.2040225731424385,0.5884020686716706,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,4,2.1185067642461174e-06
near_symmetric_m2_least,0.2,4,-6.257079783707431e-07,-5.444539327771429e-07,-1.5642699459268577e-07,-5.734653615584969e-34,-5.444539327771429e-07,-9.018480989761613e-06,8.47402705698447e-06,0.9396290868278988,-0.0010471485329255487,0.0010466040789927715,0.30227755852963517,0.46176281224116095,0.2040225731424385,0.5884020686716706,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,4,2.1185067642461174e-06
near_symmetric_m2_least,0.2,4,-6.257079783707431e-07,-5.444539327771429e-07,-1.5642699459268577e-07,-5.734653615584969e-34,-5.444539327771429e-07,-9.018480989761613e-06,8.47402705698447e-06,0.9396290868278988,-0.0010471485329255487,0.0010466040789927715,0.30227755852963517,0.46176281224116095,0.2040225731424385,0.5884020686716706,0.2,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,4,2.1185067642461174e-06
near_symmetric_m2_least,0.2,5,-1.2306573433851252e-06,-6.049493650143821e-07,-2.4613146867702504e-07,-8.23708614818716e-34,-6.049493650143821e-07,-1.1180562267767195e-05,1.0575612902752813e-05,0.9458927600843108,-0.0010471485329255487,0.0010465435835605344,0.30227755852963517,0.46176281224116095,0.20035886201473338,0.6441724143817491,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,5,2.1151225805505626e-06
near_symmetric_m2_least,0.2,5,-1.2306573433851252e-06,-6.049493650143821e-07,-2.4613146867702504e-07,-8.23708614818716e-34,-6.049493650143821e-07,-1.1180562267767195e-05,1.0575612902752813e-05,0.9458927600843108,-0.0010471485329255487,0.0010465435835605344,0.30227755852963517,0.46176281224116095,0.20035886201473338,0.6441724143817491,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,5,2.1151225805505626e-06
near_symmetric_m2_least,0.2,5,-1.2306573433851252e-06,-6.049493650143821e-07,-2.4613146867702504e-07,-8.23708614818716e-34,-6.049493650143821e-07,-1.1180562267767195e-05,1.0575612902752813e-05,0.9458927600843108,-0.0010471485329255487,0.0010465435835605344,0.30227755852963517,0.46176281224116095,0.20035886201473338,0.6441724143817491,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,5,2.1151225805505626e-06
near_symmetric_m2_least,0.2,5,-1.2306573433851252e-06,-6.049493650143821e-07,-2.4613146867702504e-07,-8.23708614818716e-34,-6.049493650143821e-07,-1.1180562267767195e-05,1.0575612902752813e-05,0.9458927600843108,-0.0010471485329255487,0.0010465435835605344,0.30227755852963517,0.46176281224116095,0.20035886201473338,0.6441724143817491,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,5,2.1151225805505626e-06
