family,epsilon,n,Hn_second,increment_second,Hn_second_over_n,conditional_fisher,prediction_vertical,spectral_increment,coherence_increment
near_symmetric_m2_least,0.2,2,-4.105292536741581e-09,-4.105292536741581e-09,-2.0526462683707905e-09,-1.3957857059017898e-34,-4.105292536741581e-09,-1.4162410637213743e-07,1.3751881383539584e-07
near_symmetric_m2_least,0.2,3,-8.125404559360013e-08,-7.714875305685854e-08,-2.7084681864533377e-08,-6.214568631026527e-34,-7.714875305685854e-08,-2.916137360895602e-06,2.8389886078387436e-06
near_symmetric_m2_least,0.2,4,-6.257079783707431e-07,-5.444539327771429e-07,-1.5642699459268577e-07,-5.734653615584969e-34,-5.444539327771429e-07,-9.018480989761613e-06,8.47402705698447e-06
near_symmetric_m2_least,0.2,5,-1.2306573433851252e-06,-6.049493650143821e-07,-2.4613146867702504e-07,-8.23708614818716e-34,-6.049493650143821e-07,-1.1180562267767195e-05,1.0575612902752813e-05
near_symmetric_m2_least,0.2,6,-1.851896117025283e-06,-6.212387736401579e-07,-3.0864935283754716e-07,-8.710892315993539e-34,-6.212387736401579e-07,-1.1523874798584427e-05,1.0902636024944268e-05
near_symmetric_m2_least,0.2,7,-2.513818705344944e-06,-6.61922588319661e-07,-3.5911695790642057e-07,-8.596315977851167e-34,-6.61922588319661e-07,-1.305378296699675e-05,1.239186037867709e-05
near_symmetric_m2_least,0.2,8,-3.1861617772969323e-06,-6.723430719519883e-07,-3.9827022216211654e-07,-8.731009521984864e-34,-6.723430719519883e-07,-1.413776756440144e-05,1.3465424492449452e-05
near_symmetric_m2_least,0.2,9,-3.866560526957969e-06,-6.803987496610372e-07,-4.296178363286633e-07,-8.881936186288824e-34,-6.803987496610372e-07,-1.6427753702240942e-05,1.5747354952579905e-05
near_symmetric_m2_least,0.2,10,-4.589841349226652e-06,-7.232808222686828e-07,-4.589841349226652e-07,-8.920785034689214e-34,-7.232808222686828e-07,-2.027582983724988e-05,1.9552549014981194e-05
near_symmetric_m2_least,0.2,11,-5.3178133062256995e-06,-7.27971956999047e-07,-4.834375732932454e-07,-8.9474320845589e-34,-7.27971956999047e-07,-2.123016887768706e-05,2.0502196920688012e-05
